# #43562/3 raw-mm1 per-core check  (Q=0, pos8190, iter1)
# QK matmul output mm1 should be 0 (Q forced to 0). Tap = SDPA_MM1DIRECT_TAP -> mla_iter_dump
# tile 48, read back per flash_mla core. classification per core's 8x32 mm1 tile:
#   ZERO    = all elements exactly 0
#   UNIFORM = single constant across the whole tile (a per-row constant -> cancels in softmax)
#   NONUNIF = genuinely varying values (the real partial-mask signal)
# configs: MOVB2D = coherent mask-path DEST write (real fix); NOP100 = 100 NOPs, no DEST write

SUMMARY over 512 cores:
  MOVB2D : ZERO=448  UNIFORM=0  NONUNIF=64   max|mm1|=51.0000
  NOP100 : ZERO=0  UNIFORM=448  NONUNIF=64   max|mm1|=0.9766
  non-zero(MOVB2D) cores == non-uniform(NOP100) cores : True  (these are the partial-mask cores)

     (dev, x, y) | MOVB2D max|mm1|    class | NOP100 max|mm1|    class
------------------------------------------------------------------------
       (0, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 0, 1) |          7.1875  NONUNIF |          0.9766  NONUNIF
       (0, 0, 2) |         12.6875  NONUNIF |          0.9766  NONUNIF
       (0, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 1) |         10.7500  NONUNIF |          0.9766  NONUNIF
       (0, 1, 2) |         15.1875  NONUNIF |          0.9766  NONUNIF
       (0, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 1) |         38.0000  NONUNIF |          0.9766  NONUNIF
       (0, 2, 2) |          9.4375  NONUNIF |          0.9766  NONUNIF
       (0, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 1) |         10.2500  NONUNIF |          0.9766  NONUNIF
       (0, 3, 2) |         10.6875  NONUNIF |          0.9766  NONUNIF
       (0, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
