activation,dtype,role,csv,coeff_csv,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,dump_csv,plot_png,status
abs,fp32,fastest_ttnn_ulp_match,abs_p13_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/abs_p13_s2_uniform_any_ulp.csv,poly,13,2,0.0,2.89,0.0,2.94,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/abs/fastest_ttnn_ulp_match_abs_p13_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/abs.png,ttnn_ulp_match
abs,fp32,ttnn,,,ttnn,,,0.0,2.94,0.0,2.94,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/abs/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/abs.png,ttnn_ref
acos,fp32,fastest_min_ulp,acos_n12d4_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/acos_n12d4_s1_uniform_rational_ulp.csv,rational,12d4,1,352.0,4.91,14.0,8.12,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/acos/fastest_min_ulp_acos_n12d4_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/acos.png,fallback_min_ulp
acos,fp32,ttnn,,,ttnn,,,14.0,8.12,14.0,8.12,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/acos/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/acos.png,ttnn_ref
acosh,fp32,fastest_ttnn_ulp_match,acosh_n5d5_s1_uniform_rational_mae.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/acosh_n5d5_s1_uniform_rational_mae.csv,rational,5d5,1,3965.0,3.96,6791.0,5.29,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/acosh/fastest_ttnn_ulp_match_acosh_n5d5_s1_uniform_rational_mae.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/acosh.png,ttnn_ulp_match
acosh,fp32,ttnn,,,ttnn,,,6791.0,5.29,6791.0,5.29,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/acosh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/acosh.png,ttnn_ref
asin,fp32,fastest_min_ulp,asin_n12d4_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/asin_n12d4_s1_uniform_rational_ulp.csv,rational,12d4,1,303.0,3.65,27.5,7.99,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/asin/fastest_min_ulp_asin_n12d4_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/asin.png,fallback_min_ulp
asin,fp32,ttnn,,,ttnn,,,27.5,7.99,27.5,7.99,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/asin/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/asin.png,ttnn_ref
asinh,fp32,fastest_ttnn_ulp_match,asinh_n6d6_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/asinh_n6d6_s1_uniform_rational_ulp.csv,rational,6d6,1,9473.0,3.43,10107.0,4.69,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/asinh/fastest_ttnn_ulp_match_asinh_n6d6_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/asinh.png,ttnn_ulp_match
asinh,fp32,ttnn,,,ttnn,,,10107.0,4.69,10107.0,4.69,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/asinh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/asinh.png,ttnn_ref
atan,fp32,fastest_min_ulp,atan_p9_s4_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/atan_p9_s4_uniform_any_ulp.csv,poly,9,4,27.0,5.46,2.0,5.11,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/atan/fastest_min_ulp_atan_p9_s4_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/atan.png,fallback_min_ulp
