dm	latent	label	sp	per_dev	q	k	chunk_size	d_v	duration_ms	util	cores	status
on	1	C1	8	640	32	224	5120	512	7.041	55.9	110	OK
on	1	C1	8	640	32	256	5120	512	6.953	56.7	110	OK
on	1	C1	8	640	32	384	5120	512	7.029	56.0	110	OK
on	1	C1	8	640	32	448	5120	512	6.799	57.9	110	OK
on	1	C1	8	640	32	480	5120	512	6.837	57.6	110	OK
on	1	C1	8	640	32	512	5120	512	6.762	58.2	110	OK
on	1	C1	8	640	32	640	5120	512	6.532	60.3	110	OK
on	1	C1	8	640	32	672	5120	512	NA	NA	NA	OOM
on	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOMskip
on	1	C1	8	640	32	800	5120	512	NA	NA	NA	OOMskip
on	1	C2	4	1280	64	224	5120	512	11.898	66.2	110	OK
on	1	C2	4	1280	64	256	5120	512	12.405	63.5	110	OK
on	1	C2	4	1280	64	384	5120	512	11.940	66.0	110	OK
on	1	C2	4	1280	64	448	5120	512	10.724	73.5	110	OK
on	1	C2	4	1280	64	480	5120	512	12.120	65.0	110	OK
on	1	C2	4	1280	64	512	5120	512	NA	NA	NA	OOM
on	1	C2	4	1280	64	640	5120	512	NA	NA	NA	OOMskip
on	1	C2	4	1280	64	672	5120	512	NA	NA	NA	OOMskip
on	1	C2	4	1280	64	768	5120	512	NA	NA	NA	OOMskip
on	1	C2	4	1280	64	800	5120	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	224	4992	512	11.439	65.5	110	OK
on	1	C3	4	1248	96	256	4992	512	11.119	67.4	110	OK
on	1	C3	4	1248	96	384	4992	512	11.599	64.6	110	OK
on	1	C3	4	1248	96	448	4992	512	NA	NA	NA	OOM
on	1	C3	4	1248	96	480	4992	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	512	4992	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	640	4992	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	672	4992	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	768	4992	512	NA	NA	NA	OOMskip
on	1	C3	4	1248	96	800	4992	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	224	5120	512	7.857	50.1	110	OK
on	1	C4	8	640	128	256	5120	512	7.514	52.4	110	OK
on	1	C4	8	640	128	384	5120	512	NA	NA	NA	OOM
on	1	C4	8	640	128	448	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	480	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	512	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	640	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	672	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	768	5120	512	NA	NA	NA	OOMskip
on	1	C4	8	640	128	800	5120	512	NA	NA	NA	OOMskip
on	1	C5	8	640	64	224	5120	512	8.065	48.8	110	OK
on	1	C5	8	640	64	256	5120	512	8.433	46.7	110	OK
on	1	C5	8	640	64	384	5120	512	8.164	48.2	110	OK
on	1	C5	8	640	64	448	5120	512	7.129	55.2	110	OK
on	1	C5	8	640	64	480	5120	512	8.037	49.0	110	OK
on	1	C5	8	640	64	512	5120	512	NA	NA	NA	OOM
on	1	C5	8	640	64	640	5120	512	NA	NA	NA	OOMskip
on	1	C5	8	640	64	672	5120	512	NA	NA	NA	OOMskip
on	1	C5	8	640	64	768	5120	512	NA	NA	NA	OOMskip
on	1	C5	8	640	64	800	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	224	5120	512	11.631	33.9	110	OK
on	1	C6	8	640	96	256	5120	512	11.358	34.7	110	OK
on	1	C6	8	640	96	384	5120	512	11.976	32.9	110	OK
on	1	C6	8	640	96	448	5120	512	NA	NA	NA	OOM
on	1	C6	8	640	96	480	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	512	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	640	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	672	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	768	5120	512	NA	NA	NA	OOMskip
on	1	C6	8	640	96	800	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	224	5120	512	9.722	40.5	110	OK
on	1	C7	8	640	160	256	5120	512	9.525	41.4	110	OK
on	1	C7	8	640	160	384	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	448	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	480	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	512	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	640	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	672	5120	512	NA	NA	NA	OOMskip
on	1	C7	8	640	160	768	5120	512	NA	NA	NA	OOMskip
