category,item,ladder / detail,current,config,source
RENDER,E2E wall-clock s/image,453.7 -> 351.4 hybrid -> 216.5 on-device cold -> ~84 warm,~84 (warm resident),"1024^2 / 50-step / CFG=2",UNIFIED_STACK Lever 3/3b
RENDER,cold breakdown,step-1 compile 133.7 + loop 46.4 @947 ms/step + bf16 VAE 36.4,216.5 s,"1024^2 / 50-step",UNIFIED_STACK Lever 3
RENDER,warm breakdown,loop ~48 @~970 ms/step + bf16 VAE ~36 (conv-heads cached),~84 s,"1024^2 / 50-step",UNIFIED_STACK Lever 3b
LEVER LADDER,steady ms/step (hybrid path),7770 -> 6368 -> 6093 -> 5736 -> 5512 (-29.1% cumulative),5512 ms/step,"32L / 12-step / 1024^2 / trace",UNIFIED_STACK Levers 1-2
LEVER,EP=32 + shard-shared (default ON),7770 -> 6368,-18.0%,default,UNIFIED_STACK Lever 1
LEVER,CCL_LINKS=2 (default ON),6368 -> 6093,-4.3%,default,UNIFIED_STACK Lever 1b
LEVER,MM_FULLGRID (default ON),6093 -> 5736,-5.9%,default,UNIFIED_STACK Lever 1c
LEVER,fused attention all-reduce (default ON),5736 -> 5512,-3.9%,default,UNIFIED_STACK Lever 2
HOST-GLUE,on-device head-glue per-step,5548 -> 947 ms/step (removes ~4600 ms/step host round-trip),947 ms/step,"50-step render",UNIFIED_STACK Lever 3
DEVICE_MS,per-op device_ms (LOCAL Mac track),137.4 -> 121.5 -> 103.5 -> 100.0 -> 95.4,95.4,"num_layers=1 proxy",ladders.csv (LOCAL track NOT box branch)
BENCHLINE,HunyuanImage-3.0 on 3xH100,same model reference,137 s/image,"1024^2 / 50-step / bf16",references.csv (soft provenance)
BENCHLINE,HunyuanImage-3.0 on RTX 4090 FP8,reference GPU point,11.9 s/image,28 steps,references.csv
BENCHLINE,LongCat-Image TTNN (6B DENSE - not same model),maturity/scale ref only,43.6 s/image,"1024^2 / 4-chip TP=4",references.csv
ROOFLINE,dense-64 (what actually runs),~65.5 PFLOP/image (~655 TFLOP/fwd; MoE ~97% of fwd FLOPs),~65.5 PFLOP,"1024^2 / 50-step",references.csv
ROOFLINE,sparse top-8 (theoretical),~10.6 PFLOP/image (13B active),~10.6 PFLOP,"1024^2 / 50-step",references.csv
ROOFLINE,Galaxy peak,~10.6 PFLOP/s bf16 (~331 TF/s/chip; ~3.6x the 3xH100 aggregate),~10.6 PFLOP/s,32-chip BH,references.csv
BOTTLENECK,latest Tracy op-cost (device-kernel time),CCL 30.2% (ReduceScatter 16.9 + AllGather 13.3) > matmul 23.2 > SDPA 13.2 > elementwise 12 > layout ~14,CCL-bound,"HUNYUAN_TRACY_ops_perf.csv (Aug-3, 224960 rows)",Tracy
BOTTLENECK,wall-clock vs compute,~3 s device compute vs ~6.4 s wall/step,~55% CCL/sync-bound,per-step,UNIFIED_STACK Lever 1 profile
TARGET,near-term,84 -> ~40-50 (on-device VAE + traced render + CFG-parallel),~40-50 s,"1024^2 / 50-step",roofline / analysis
TARGET,aggressive,dense-MoE roofline @ ~40% MFU,~15-20 s,"1024^2 / 50-step",roofline / analysis
TARGET,floor (NOT reachable),sparse dispatch is DEAD on TT (~13-47x slower),~5-8 s,"1024^2 / 50-step",dead_levers.csv
