source_id,source_path,kernel_label,pattern_id,pattern,static_helper_call_sites,call_ids,factory_ids,uses_accumulate_api,loop_carried_helper_result,runtime_calls_and_unit,state_and_branches,evidence_source_lines
S034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,DiT fused distributed RMSNorm,stages,Multiple statistics or reduction stages,4,R127; R128; R129; R130,F034,False,False,Per tile row: 2 × num_heads_per_device calls for per-head norm; whole-row norm makes 1 pre call plus 1 post call only when stats_tiles_cols=1.,Pre-all-gather reduces x² after L1 pack accumulation. Streaming/resident pre sites are alternatives. Post-all-gather performs a fresh statistics reduction per head or for a single gathered tile. Whole-row stats_tiles_cols>1 uses a manual combine instead of the retained post helper. Neither phase passes Accumulate.,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:190; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:216; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:264; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:365; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:387
S035,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,Fused RMS all-gather,stages,Multiple statistics or reduction stages,3,R134; R135; R136,F035,False,False,1 + enable_sqrt calls per all-gather worker invocation; 0 on non-worker cores.,The first two sites are alternative destinations for a bulk global-statistics reduction. A later optional post-stage reduces cb_stats. Both are fresh reductions over received partials; the earlier local raw reduction is outside this inventory.,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp:172; ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp:215
S036,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,Attention-residual gather-softmax,stages,Multiple statistics or reduction stages,1,R137,F036,False,False,2 calls per statistics row; 2 × num_stat_rows per core (zero for fold-only cores).,The one helper site in reduce_transformed_row is invoked for x² and x × q. Each invocation reduces its own transformed row; the second does not accumulate the first. Later fold/weight arithmetic is separate.,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:94; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:271; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:278; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:287
S039,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,Indexer score — block-pool fallback,single,One helper call per independent reduction,1,R147,F040; F041,False,False,1 call per emitted group/band output plane when block_pool and blocks_per_unit>8; otherwise 0.,"The single bulk helper covers all blocks and query-row tiles in that output unit. Prior score/head accumulation is input preparation, not accumulation across helper calls. RingIndexerScore never enables this branch; see its factory audit.",ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:467; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:512; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:591
S040,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,KDA prepare-chunk recurrence,stages,Multiple statistics or reduction stages,1,R148,F042,False,False,2 calls per work item; 2 × work_item_count per compute invocation.,The helper in reduce_squared_rows_to_inverse_norms is reached through normalize_l2_rows once for q and once for k. These reduce different tensors; shared workspace is reused without carrying a reduced result between them.,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:384; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:690; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:697; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:705
S041,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,KDA sigmoid-gated RMS norm,single,One helper call per independent reduction,1,R149,F043,False,False,1 call per work item; wi_count calls per compute invocation.,One full-row mean-square reduction followed by inverse RMS/gating. The work-item loop processes fresh rows.,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp:131; ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp:136
S045,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,Quasar generic reduction,single,One helper call per independent reduction,1,R160,F047,False,False,1 bulk helper call per kernel invocation for its assigned Ht × Wt × NC block.,All tile traversal is inside the helper. There is no outer helper-accumulation loop; an optional post-multiply transforms only this call’s result.,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp:21
S046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,Quasar generic reduction — metal2,single,One helper call per independent reduction,1,R161,F046; F048,False,False,1 bulk helper call per kernel invocation for its assigned Ht × Wt × NC block.,All tile traversal is inside the helper. There is no outer helper-accumulation loop; an optional post-multiply transforms only this call’s result.,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp:29
S047,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp,Quasar generic row-major reduction,loop-api,Loop accumulation using Accumulate,2,R162; R163,F047,True,True,W: ceil(Wt / wt_tiles_per_chunk) calls per H chunk. H: ceil(Ht / ht_tiles_per_chunk) calls per local output tile.,"Accumulate::at(cb_acc, chunk_idx). One of the two sites runs per chunk: intermediate results go to the accumulator; the last goes to the output, with optional post-multiply. chunk_idx resets to zero for each H chunk (W reduction) or output tile (H reduction). A one-chunk case makes one call.",ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:47; ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:104; ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:128
S051,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp,DeepSeek grouped gate,single,One helper call per independent reduction,1,R179,F052,False,False,1 call per height tile; end_height_tile − start_height_tile calls per kernel.,"normalize_scores reduces one tile of gathered expert scores, then normalizes that tile. Each height tile starts a fresh reduction.",ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:308; ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:444; ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:472
