source_id,reduce_source,kernel_id,entry_kernel,factory_id,factory_path,factory_line,factory_kind,factory_function,include_chain,dependency_note,reference_note
S034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,K044,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,F034,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,1347,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
S035,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,K045,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,F035,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp,828,program builder,,,direct call in entry source,exact path
S036,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,K046,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,F036,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp,373,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
S039,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,K050,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,F040,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp,369,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
S039,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,K050,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,F041,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp,471,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
S040,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,K051,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,F042,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/prepare_chunk_recurrence_program_factory.cpp,233,program builder,,,direct call in entry source,exact path
S041,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,K052,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,F043,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp,144,program builder,,,direct call in entry source,exact path
S045,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,K056,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,F047,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,256,program builder,,,direct call in entry source,exact path
S046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,K057,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,F046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,168,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
S046,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,K057,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,F048,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,162,program builder,,,direct call in entry source,Path fragment resolved against the factory kernel directory and verified in source.
