# Census — mcast + semaphore-handshake block call sites (`mcast_pipe`).
# Durable, reusable manifest. Grouped by op-family. Tags: clean | refactor | defer | ref(prior-art) | oos(out-of-scope/CCL).
# Format: <repo-relative path> — role: sender|receiver|hybrid | tag: <tag> | <note>
# Recall converged: directory-swept; production code uses the OBJECT API (Noc::/Semaphore<>::),
# pure-receiver halves are spelled with Semaphore<>::set/up/wait only (no mcast token) — caught by sweep.

# ===== matmul =====
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp — role: sender | tag: clean | KNOWN INSTANCE; canonical P1
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp — role: receiver | tag: clean | P1 receiver; 3-state flag wait_min
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp — role: hybrid | tag: clean | KNOWN INSTANCE; P1
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_receiver_writer_padding.cpp — role: receiver | tag: clean | P1 receiver
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_dram_sharded.cpp — role: hybrid | tag: refactor | P2 worker-type-dispatched (3 runtime core types)
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_receiver_padding_block_sharded.cpp — role: hybrid | tag: refactor | KNOWN INSTANCE; P3 ROTATING-ROLE; same-CB loopback; degenerate-unicast
ttnn/cpp/ttnn/operations/experimental/matmul/group_attn_matmul/device/kernels/dataflow/reader_mcast_transformer_group_attn_matmul.cpp — role: hybrid | tag: refactor | P3 rotating-role; per-iter barrier (F1 disagreement); runtime sem ids
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_ring_all_gather.cpp — role: sender | tag: defer | P4 flag-only collective barrier, no data half
ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_ring_all_gather.cpp — role: n/a | tag: defer | P5 ring unicast, no multicast
tt_metal/programming_examples/matmul/matmul_common/kernels/dataflow/reader_bmm_tile_layout_in0_sender_in1_sender.cpp — role: hybrid | tag: clean | didactic P1 (raw API)
tt_metal/programming_examples/matmul/matmul_common/kernels/dataflow/reader_bmm_tile_layout_in0_receiver_in1_sender.cpp — role: hybrid | tag: clean | didactic, 2 independent Pipes
