2025-09-12 00:21:37.142 | info     |            Test | Starting Test (test_tt_fabric.cpp:41)
2025-09-12 00:21:37.143 | info     |            Test | name: TorusXYDynamicNorth6HopsUnrolled (tt_fabric_test_config.hpp:448)
2025-09-12 00:21:37.143 | info     |            Test | No fabric tensix config specified, defaulting to DISABLED (tt_fabric_test_config.hpp:563)
2025-09-12 00:21:37.273 | warning  |   SiliconDriver | Board 0x100035100000000 has 24 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.273 | warning  |   SiliconDriver | Board 0x100035130000000 has 8 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.337 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:188)
2025-09-12 00:21:37.472 | warning  |   SiliconDriver | Board 0x100035100000000 has 24 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.472 | warning  |   SiliconDriver | Board 0x100035130000000 has 8 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.834 | warning  |   SiliconDriver | Board 0x100035100000000 has 24 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.834 | warning  |   SiliconDriver | Board 0x100035130000000 has 8 chips, but expected 32 chips for board type ubb. (cluster_descriptor.cpp:1188)
2025-09-12 00:21:37.886 | info     |   SiliconDriver | Harvesting mask for chip 31 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.947 | info     |   SiliconDriver | Harvesting mask for chip 30 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.957 | info     |   SiliconDriver | Harvesting mask for chip 29 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.966 | info     |   SiliconDriver | Harvesting mask for chip 12 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.976 | info     |   SiliconDriver | Harvesting mask for chip 11 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.985 | info     |   SiliconDriver | Harvesting mask for chip 10 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:37.995 | info     |   SiliconDriver | Harvesting mask for chip 9 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.004 | info     |   SiliconDriver | Harvesting mask for chip 8 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.013 | info     |   SiliconDriver | Harvesting mask for chip 7 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.023 | info     |   SiliconDriver | Harvesting mask for chip 6 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.032 | info     |   SiliconDriver | Harvesting mask for chip 5 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.042 | info     |   SiliconDriver | Harvesting mask for chip 4 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.051 | info     |   SiliconDriver | Harvesting mask for chip 3 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.060 | info     |   SiliconDriver | Harvesting mask for chip 2 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.069 | info     |   SiliconDriver | Harvesting mask for chip 1 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.079 | info     |   SiliconDriver | Harvesting mask for chip 0 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.088 | info     |   SiliconDriver | Harvesting mask for chip 13 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.097 | info     |   SiliconDriver | Harvesting mask for chip 14 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.106 | info     |   SiliconDriver | Harvesting mask for chip 15 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.115 | info     |   SiliconDriver | Harvesting mask for chip 16 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.124 | info     |   SiliconDriver | Harvesting mask for chip 17 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.133 | info     |   SiliconDriver | Harvesting mask for chip 18 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.142 | info     |   SiliconDriver | Harvesting mask for chip 19 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.151 | info     |   SiliconDriver | Harvesting mask for chip 20 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.160 | info     |   SiliconDriver | Harvesting mask for chip 21 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.169 | info     |   SiliconDriver | Harvesting mask for chip 22 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.178 | info     |   SiliconDriver | Harvesting mask for chip 23 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.188 | info     |   SiliconDriver | Harvesting mask for chip 24 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.197 | info     |   SiliconDriver | Harvesting mask for chip 25 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
2025-09-12 00:21:38.205 | info     |   SiliconDriver | Harvesting mask for chip 26 is 0x0 (NOC0: 0x0, simulated harvesting mask: 0x0). (cluster.cpp:372)
