OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W_PAD[LOGICAL],INPUT_0_Z_PAD[LOGICAL],INPUT_0_Y_PAD[LOGICAL],INPUT_0_X_PAD[LOGICAL],INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_W_PAD[LOGICAL],OUTPUT_0_Z_PAD[LOGICAL],OUTPUT_0_Y_PAD[LOGICAL],OUTPUT_0_X_PAD[LOGICAL],OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,OUTPUT_1_W_PAD[LOGICAL],OUTPUT_1_Z_PAD[LOGICAL],OUTPUT_1_Y_PAD[LOGICAL],OUTPUT_1_X_PAD[LOGICAL],OUTPUT_1_LAYOUT,OUTPUT_1_DATATYPE,OUTPUT_1_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,TENSIX DM 0 MAX KERNEL SIZE [B],TENSIX DM 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 0 MAX KERNEL SIZE [B],TENSIX COMPUTE 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 2 MAX KERNEL SIZE [B],ACTIVE ETH DM 0 MAX KERNEL SIZE [B],ACTIVE ETH DM 1 MAX KERNEL SIZE [B],IDLE ETH DM 0 MAX KERNEL SIZE [B],IDLE ETH DM 1 MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),DRAM BW UTIL (%),NPE CONG IMPACT (%),SFPU Util Min (%),SFPU Util Median (%),SFPU Util Max (%),Avg SFPU util on full grid (%),FPU Util Min (%),FPU Util Median (%),FPU Util Max (%),Avg FPU util on full grid (%),MATH Util Min (%),MATH Util Median (%),MATH Util Max (%),Avg Math util on full grid (%)
10 1 1,signpost,,,,,,,59987992903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1028,4,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61203783726,61203928543,144817,865404285189,865404350549,0,0,65360,62530,62530,59530,62464,61274,721,62520,53483,53558,48596,48866,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/6958421574977581704/'; 'ring_reduce_scatter_minimal_async_reader/7168053980478174648/'; 'tt_fabric_mux/9421173300936767299/'],6892,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1032,8,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61203928944,61203989705,60761,867034055825,867034117692,0,0,61867,59047,59047,55421,58991,57957,740,59030,48653,48735,45764,46038,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/15469579393397542820/'; 'ring_reduce_scatter_minimal_async_reader/7282800334769768013/'; 'tt_fabric_mux/9421173300936767299/'],6888,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1036,12,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61203989995,61204040842,50847,868878185700,868878244555,0,0,58855,56055,56055,52000,55989,54759,708,56045,45226,45324,42043,42313,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/7979804864606222835/'; 'ring_reduce_scatter_minimal_async_reader/6256269281005910871/'; 'tt_fabric_mux/9421173300936767299/'],6892,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1039,15,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204041022,61204092850,51828,972045537924,972045594628,0,0,56704,53889,53889,50146,53868,52381,703,53872,43412,43520,40431,40695,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/8941689098845815814/'; 'ring_reduce_scatter_minimal_async_reader/5975991979281207860/'; 'tt_fabric_mux/9421173300936767299/'],6916,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1035,11,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204092970,61204144828,51858,868458639822,868458692190,0,0,52368,49562,49559,43894,49474,46978,716,49559,41290,41404,34205,34475,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/15471980098181710218/'; 'ring_reduce_scatter_minimal_async_reader/17019350414694785222/'; 'tt_fabric_mux/9421173300936767299/'],6900,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1024,0,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204144938,61204192269,47331,863558983755,863559034413,0,0,50658,47886,47886,42227,47820,45177,695,47866,37603,37685,32581,32835,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/1065821542135576978/'; 'ring_reduce_scatter_minimal_async_reader/15084281062867654907/'; 'tt_fabric_mux/9421173300936767299/'],6884,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1031,7,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204192449,61204242435,49986,866579122662,866579169812,0,0,47150,44370,44370,40184,44281,42454,743,44354,32547,32635,29150,29421,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/18375317070928635852/'; 'ring_reduce_scatter_minimal_async_reader/14454767050344457542/'; 'tt_fabric_mux/9421173300936767299/'],6896,2000,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,1027,3,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204242555,61204299941,57386,864975800208,864975845758,0,0,45550,42737,42737,39912,42670,41401,722,42721,30152,30241,27645,27913,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/6921891708139716957/'; 'ring_reduce_scatter_minimal_async_reader/14119104400534160379/'; 'tt_fabric_mux/9421173300936767299/'],6896,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
ReduceScatterMinimalAsync,tt_dnn_device,2052,4,{'barrier_semaphore': 'GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)'; 'chunks_per_sync': '10'; 'cluster_axis': 'std::nullopt'; 'dim': '3'; 'num_buffers_per_channel': '1'; 'num_links': '4'; 'num_worker_per_link': '1'; 'optional_intermediate_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::L1;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '8'; 'semaphore': '{GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1); GlobalSemaphore(cores={[(x=0;y=0) - (x=7;y=8)]};buffer_type=BufferType::L1)}'; 'topology': 'Topology::Ring'; 'using_persistent_buffers': 'false'},HiFi4,16,,61204989778,61204994214,4436,865405475336,865405535844,1127683,1127683,60508,57612,57612,53099,57546,55404,633,57593,49262,49336,43223,43486,,,,,,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,1[1],1[1],32[32],4096[4096],TILE,BFLOAT16,DEV_1_L1_INTERLEAVED,1[1],1[1],32[32],512[512],TILE,BFLOAT16,DEV_1_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['ring_reduction/8393357478901856542/'],['ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['ring_reduce_scatter_minimal_async_writer/6958421574977581704/'; 'ring_reduce_scatter_minimal_async_reader/7168053980478174648/'; 'tt_fabric_mux/9421173300936767299/'],6892,1948,1648,1168,2280,0,0,0,0,946,1,946,[277.1078186035156],[277.1078186035156; 34.63847732543945],0.002,,,,,,,,,,,,,,,
