candidate,columns_per_device,input_cores,output_cores,max_in0_block_w,replays,ms_per_token,tokens_per_second_per_user,result,decision
control_short,8192,10,64,4,64,1.748044,572.068,pass,retain_for_long_control
input8_block5,8192,8,64,5,64,1.752487,570.618,pass,reject_0.25_percent_slower
columns16384_direct,16384,10,64,4,0,,,load_time_L1_failure,adapt_weight_tilize_and_maximum_cores
output32_short,8192,10,32,4,64,1.746674,572.517,pass,remeasure_long
control_long,8192,10,64,4,256,1.747149,572.361,pass,selected_control
output32_long,8192,10,32,4,256,1.746017,572.732,pass,reject_0.065_percent_within_noise
block8_prior,8192,10,64,8,0,,,runtime_L1_failure,adapt_with_maximum_input_cores
columns16384_staged_short,16384,80,64,1,64,1.733895,576.736,pass,remeasure_long
control_correctness_long,8192,10,64,4,256,1.747072,572.386,pass,selected_control
columns16384_staged_long,16384,80,64,1,256,1.733358,576.915,pass,reject_0.785_percent_below_1_percent_materiality
block8_input80_adapted,8192,80,64,8,256,1.743618,573.520,pass,reject_0.198_percent_below_1_percent_materiality
