activation,dtype,role,csv,coeff_csv,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,dump_csv,plot_png,status
abs,bf16,fastest_ttnn_ulp_match,abs_p1_s2_curvature_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/abs_p1_s2_curvature_any_ulp.csv,poly,1,2,0.0,1.78,0.0,1.71,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/abs/fastest_ttnn_ulp_match_abs_p1_s2_curvature_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/abs.png,ttnn_ulp_match
abs,bf16,ttnn,,,ttnn,,,0.0,1.71,0.0,1.71,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/abs/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/abs.png,ttnn_ref
acos,bf16,fastest_min_ulp,acos_n10d3_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/acos_n10d3_s2_uniform_rational_ulp.csv,rational,10d3,2,0.06,6.46,0.0,5.74,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/acos/fastest_min_ulp_acos_n10d3_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/acos.png,fallback_min_ulp
acos,bf16,ttnn,,,ttnn,,,0.0,5.74,0.0,5.74,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/acos/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/acos.png,ttnn_ref
acosh,bf16,fastest_ttnn_ulp_match,acosh_n4d3_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/acosh_n4d3_s1_uniform_rational_ulp.csv,rational,4d3,1,1.0,2.93,1.0,4.73,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/acosh/fastest_ttnn_ulp_match_acosh_n4d3_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/acosh.png,ttnn_ulp_match
acosh,bf16,ttnn,,,ttnn,,,1.0,4.73,1.0,4.73,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/acosh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/acosh.png,ttnn_ref
asin,bf16,fastest_ttnn_ulp_match,asin_n9d7_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/asin_n9d7_s1_uniform_rational_ulp.csv,rational,9d7,1,0.0,3.04,1.504632769052528e-36,5.7,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/asin/fastest_ttnn_ulp_match_asin_n9d7_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/asin.png,ttnn_ulp_match
asin,bf16,ttnn,,,ttnn,,,1.504632769052528e-36,5.7,1.504632769052528e-36,5.7,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/asin/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/asin.png,ttnn_ref
asinh,bf16,fastest_ttnn_ulp_match,asinh_n5d5_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/asinh_n5d5_s1_uniform_rational_ulp.csv,rational,5d5,1,1.0,2.54,1.0,4.12,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/asinh/fastest_ttnn_ulp_match_asinh_n5d5_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/asinh.png,ttnn_ulp_match
asinh,bf16,ttnn,,,ttnn,,,1.0,4.12,1.0,4.12,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/asinh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/asinh.png,ttnn_ref
