# split_reader_v2 — measured DEVICE KERNEL DURATION [ns], Wormhole B0
# box: bgd-lab-16-special-dstoiljkovic (12 DRAM banks, 64 L1 banks), profiler ON.
# One fresh-cache measured launch per (plan, arm); launch 1 of each pair is the
# compile warm-up AND the bit-exact correctness gate (torch.equal). EVERY arm
# listed here was bit-exact; L1_OOM rows never ran (the CBs do not fit).
# Repeat sessions of the same cell are listed as `a/b/c` (session spread <= 1.5%).
#
# arm legend
#   op_baseline        NCRISC reads all blocks (library read_sticks_for_tilize),
#                      compute = ONE helper call for the core, BRISC drains.
#                      == today's op scheme (pinned by test_anchor.py).
#   nodrain            as op_baseline, nobody drains the aliased output CB.
#   alt_tax            ONE reader, ONE CB, but compute in the per-block
#                      back-to-back helper form the split forces on it.
#   cdrain             as op_baseline, COMPUTE drains.
#   raw_baseline       ONE reader, raw noc_async_read instead of the helper.
#   split_il           dedicated dual-NoC, stride-2 interleave 50/50, no drain.
#   split_il_cdrain    ditto, COMPUTE drains  <-- L1-SOURCE INTEGRATION FORM
#   split_il_bdrain    ditto, BRISC reads AND drains.
#   split_p57/60/67/75 dedicated dual-NoC, PERIODIC weighted interleave, NCRISC's
#                      share = 4/7, 3/5, 2/3, 3/4. Bounded CB depth.
#   split_w75          Perf-1's CONTIGUOUS 3:1 split (CB depth = half the core's
#                      blocks -> L1 scales with the tensor; not integrable).
#   split_trid         BOTH DM RISCs on NOC_0 (DM_DYNAMIC_NOC) + per-RISC read
#                      transaction id, 50/50 interleave, no drain.
#   split_trid_cdrain  ditto, COMPUTE drains   <-- DRAM-SOURCE INTEGRATION FORM
#   split_rw / _p88    interleaved destination: BRISC keeps the WRITES and takes
#                      1/2 resp. 1/8 of the reads.
#
plan	shape	src	dst	blocks/core	wt_chunk	read_B/stick	arm	ns	ratio_vs_baseline	in_cb_L1_B
# ---------- FOCUS PLAN 1: DRAM -> HEIGHT-sharded L1, 8 cores ----------
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	real_op_anchor	14919	-	-
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	op_baseline	14780/14908/14707/14875	1.00	32768
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	nodrain	14759/14798	1.00	32768
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	alt_tax	14768/14727	1.00	32768
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	cdrain	14860/14755	1.00	32768
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	raw_baseline	14954/14983	0.99	32768
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_il	17174/16896/16889	0.87	65536
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_il_bdrain	19756/19714	0.75	65536
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_il_cdrain	17009/17102/17048	0.87	65536
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_p57	13651/13662	1.08	114688
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_p60	11380/11502	1.29	81920
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_p67	11552/11394	1.29	81920
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_p75	11845/11884/11904	1.25	98304
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_w75	12413/12388	1.19	131072
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_trid	9633/9857	1.51	65536
crossover	[1,1,2048,256] bf16	DRAM	H x8	8	8	512	split_trid_cdrain	9919	1.50	65536
