Total % [%],Op Code,Device,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
65.32,MatmulDeviceOperation (in0:width_sharded),1,2650.69,60,Compute,34.88,52.97,46.78,7.05,50.57
65.16,MatmulDeviceOperation (in0:width_sharded),0,2650.62,60,Compute,35.02,52.97,46.81,7.01,50.57
65.22,MatmulDeviceOperation (in0:width_sharded),2,2650.08,60,Compute,35.01,53.02,46.80,7.05,50.57
65.21,MatmulDeviceOperation (in0:width_sharded),3,2649.09,60,Compute,34.89,53.01,46.83,7.03,50.57
9.57,AllReduceAsyncDeviceOperation (in0:width_sharded),0,389.33,24,Other,,,,,
9.35,AllReduceAsyncDeviceOperation (in0:width_sharded),3,380.02,24,Other,,,,,
9.24,AllReduceAsyncDeviceOperation (in0:width_sharded),2,375.60,24,Other,,,,,
8.88,AllReduceAsyncDeviceOperation (in0:width_sharded),1,360.29,24,Other,,,,,
4.54,BinaryNgDeviceOperation (in0:block_sharded),1,184.05,24,Compute,,,,,
4.40,BinaryNgDeviceOperation (in0:block_sharded),3,178.60,24,Compute,,,,,
4.34,BinaryNgDeviceOperation (in0:block_sharded),2,176.44,24,Compute,,,,,
4.32,BinaryNgDeviceOperation (in0:block_sharded),0,175.86,24,Compute,,,,,
4.16,LayerNormDeviceOperation (in0:block_sharded),2,169.17,24,Compute,,,,,
4.16,LayerNormDeviceOperation (in0:block_sharded),3,168.84,24,Compute,,,,,
4.16,LayerNormDeviceOperation (in0:block_sharded),1,168.81,24,Compute,,,,,
4.15,LayerNormDeviceOperation (in0:block_sharded),0,168.66,24,Compute,,,,,
3.57,BinaryNgDeviceOperation (in0:width_sharded),3,145.03,12,Compute,,,,,
3.56,BinaryNgDeviceOperation (in0:width_sharded),1,144.56,12,Compute,,,,,
3.56,BinaryNgDeviceOperation (in0:width_sharded),2,144.46,12,Compute,,,,,
3.53,BinaryNgDeviceOperation (in0:width_sharded),0,143.68,12,Compute,,,,,
2.78,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),1,112.76,24,TM,,,,,
2.77,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),0,112.74,24,TM,,,,,
2.77,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),2,112.69,24,TM,,,,,
2.77,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),3,112.67,24,TM,,,,,
1.95,SdpaDecodeDeviceOperation (in0:dram_interleaved),1,79.11,12,Other,,,,,
1.94,SdpaDecodeDeviceOperation (in0:dram_interleaved),0,79.08,12,Other,,,,,
1.94,SdpaDecodeDeviceOperation (in0:dram_interleaved),2,79.00,12,Other,,,,,
1.94,SdpaDecodeDeviceOperation (in0:dram_interleaved),3,78.77,12,Other,,,,,
1.78,ReshardDeviceOperation (in0:width_sharded),1,72.04,36,DM,,,,,
1.73,ReshardDeviceOperation (in0:width_sharded),2,70.24,36,DM,,,,,
1.57,ReshardDeviceOperation (in0:width_sharded),3,63.96,36,DM,,,,,
1.56,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),0,63.45,24,DM,,,,,
1.56,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),2,63.29,24,DM,,,,,
1.56,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),3,63.27,24,DM,,,,,
1.56,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),1,63.22,24,DM,,,,,
1.52,ReshardDeviceOperation (in0:width_sharded),0,61.69,36,DM,,,,,
1.08,TransposeDeviceOperation (in0:dram_interleaved),2,43.78,24,TM,,,,,
1.07,TransposeDeviceOperation (in0:dram_interleaved),0,43.72,24,TM,,,,,
1.08,TransposeDeviceOperation (in0:dram_interleaved),1,43.63,24,TM,,,,,
1.07,TransposeDeviceOperation (in0:dram_interleaved),3,43.48,24,TM,,,,,
0.98,SliceDeviceOperation (in0:block_sharded),3,39.72,12,TM,,,,,
0.97,SliceDeviceOperation (in0:block_sharded),1,39.55,12,TM,,,,,
0.97,SliceDeviceOperation (in0:block_sharded),2,39.50,12,TM,,,,,
0.97,SliceDeviceOperation (in0:block_sharded),0,39.40,12,TM,,,,,
0.92,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),1,37.29,24,Other,,,,,
0.92,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),2,37.26,24,Other,,,,,
0.92,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),0,37.25,24,Other,,,,,
0.92,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),3,37.20,24,Other,,,,,
0.54,EmbeddingsDeviceOperation (in0:dram_interleaved),0,22.06,24,Compute,,,,,
0.54,EmbeddingsDeviceOperation (in0:dram_interleaved),3,22.00,24,Compute,,,,,
0.54,EmbeddingsDeviceOperation (in0:dram_interleaved),1,21.98,24,Compute,,,,,
0.54,EmbeddingsDeviceOperation (in0:dram_interleaved),2,21.83,24,Compute,,,,,
0.46,ReshardDeviceOperation (in0:block_sharded),0,18.78,24,DM,,,,,
0.45,ReshardDeviceOperation (in0:block_sharded),2,18.48,24,DM,,,,,
0.45,ReshardDeviceOperation (in0:block_sharded),1,18.38,24,DM,,,,,
0.45,ReshardDeviceOperation (in0:block_sharded),3,18.23,24,DM,,,,,
0.42,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1,17.23,36,DM,,,,,
0.42,InterleavedToShardedDeviceOperation (in0:dram_interleaved),0,17.22,36,DM,,,,,
0.42,InterleavedToShardedDeviceOperation (in0:dram_interleaved),3,17.16,36,DM,,,,,
0.42,InterleavedToShardedDeviceOperation (in0:dram_interleaved),2,17.12,36,DM,,,,,
0.42,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),0,16.91,12,Other,,,,,
0.41,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),1,16.83,12,Other,,,,,
0.41,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),3,16.80,12,Other,,,,,
0.41,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),2,16.77,12,Other,,,,,
0.32,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1,12.81,12,TM,,,,,
0.32,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2,12.80,12,TM,,,,,
0.31,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),0,12.74,12,TM,,,,,
0.31,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),3,12.73,12,TM,,,,,
0.22,TypecastDeviceOperation (in0:dram_interleaved),3,9.11,12,TM,,,,,
0.22,TypecastDeviceOperation (in0:dram_interleaved),1,9.09,12,TM,,,,,
0.22,TypecastDeviceOperation (in0:dram_interleaved),2,9.02,12,TM,,,,,
0.22,TypecastDeviceOperation (in0:dram_interleaved),0,8.96,12,TM,,,,,
0.14,ShardedToInterleavedDeviceOperation (in0:height_sharded),1,5.70,12,DM,,,,,
